rpm/max,gas,brake,in_first_gear,in_overdrive,shift_status,jump_gears
0.046508176406894274,0.08627450980392157,0.0,1,0,1,0
0.1115142238401498,0.0784313725490196,0.0,1,0,1,0
0.141863167007474,0.15294117647058825,0.0,1,0,1,0
0.11584323588156928,0.16862745098039217,0.0,1,0,1,0
0.08119129486334384,0.17647058823529413,0.0,1,0,1,0
0.049801635611298835,0.1607843137254902,0.0,1,0,1,0
0.03894088427792723,0.13333333333333333,0.0,1,0,1,0
0.06242241106841947,0.13333333333333333,0.0,1,0,1,0
0.08462304002787165,0.13725490196078433,0.0,1,0,1,0
0.10576305872773617,0.14901960784313725,0.0,1,0,1,0
0.12794729066412233,0.14901960784313725,0.0,1,0,1,0
0.1491025681631177,0.15294117647058825,0.0,1,0,2,0
0.1414518887589004,0.1803921568627451,0.0,0,0,1,0
0.06856410246258872,0.1803921568627451,0.0,0,0,1,0
0.08509489158499497,0.1843137254901961,0.0,0,0,1,0
0.1013989432003162,0.19215686274509805,0.0,0,0,1,0
0.1158152421711638,0.1843137254901961,0.0,0,0,1,0
0.12901436735534164,0.19215686274509805,0.0,0,0,1,0
0.14096131424284353,0.19215686274509805,0.0,0,0,1,0
0.15202523030064288,0.19215686274509805,0.0,0,0,1,0
0.16323871558192277,0.19607843137254902,0.0,0,0,2,0
0.15003874910179285,0.20784313725490197,0.0,0,0,1,0
0.06924464490382502,0.2,0.0,0,0,1,0
0.07436817024398902,0.2,0.0,0,0,1,0
0.07933861271287262,0.19607843137254902,0.0,0,0,1,0
0.08403807540519123,0.19607843137254902,0.0,0,0,1,0
0.08872391240228594,0.19607843137254902,0.0,0,0,1,0
0.09284599863149191,0.19607843137254902,0.0,0,0,1,0
0.0969155286076915,0.19607843137254902,0.0,0,0,1,0
0.10146773151639801,0.19607843137254902,0.0,0,0,1,0
0.10538843458907476,0.19607843137254902,0.0,0,0,1,0
0.1094094663280368,0.19607843137254902,0.0,0,0,1,0
0.11356325786743683,0.19607843137254902,0.0,0,0,1,0
0.11708144206704106,0.19607843137254902,0.0,0,0,1,0
0.1212558865972647,0.19607843137254902,0.0,0,0,1,0
0.1248630337198016,0.19607843137254902,0.0,0,0,1,0
0.1283709903999884,0.2,0.0,0,0,1,0
0.13256437233713336,0.2,0.0,0,0,1,0
0.13606173858592338,0.2,0.0,0,0,1,0
0.139884884320157,0.2,0.0,0,0,1,0
0.14409438284838394,0.20784313725490197,0.0,0,0,1,0
0.14810578092389473,0.21176470588235294,0.0,0,0,1,0
0.15237052455297492,0.21568627450980393,0.0,0,0,1,0
0.1567884500293299,0.21568627450980393,0.0,0,0,1,0
0.16109733695189568,0.21568627450980393,0.0,0,0,1,0
0.16534551859791927,0.21568627450980393,0.0,0,0,1,0
0.16994753942378815,0.2235294117647059,0.0,0,0,1,0
