rpm/max,gas,brake,gear,shift_status,jump_gears
0.085448615,0.117647059,0.0,1,1.0,0
0.177621181,0.168627451,0.0,1,1.0,0
0.155590082,0.231372549,0.0,1,1.0,0
0.129725229,0.254901961,0.0,1,1.0,0
0.108148017,0.274509804,0.0,1,1.0,0
0.164909232,0.247058824,0.0,1,1.0,0
0.20534924,0.243137255,0.0,1,2.0,0
0.195918279,0.243137255,0.0,2,1.0,0
0.110151786,0.180392157,0.0,2,1.0,0
0.12360909,0.184313725,0.0,2,1.0,0
0.135619151,0.184313725,0.0,2,1.0,0
0.144499887,0.176470588,0.0,2,2.0,0
0.135209341,0.133333333,0.0,3,1.0,0
0.129704824,0.133333333,0.0,3,1.0,0
0.05213092,0.007843137,0.0,3,1.0,0
0.05323574,0.145098039,0.0,3,1.0,0
0.055959625,0.164705882,0.0,3,1.0,0
0.059039989,0.164705882,0.0,3,1.0,0
0.062329869,0.180392157,0.0,3,1.0,0
0.066856189,0.207843137,0.0,3,1.0,0
0.070832203,0.180392157,0.0,3,1.0,0
0.074084208,0.180392157,0.0,3,1.0,0
0.076811739,0.180392157,0.0,3,1.0,0
0.080272253,0.184313725,0.0,3,1.0,0
0.084007393,0.196078431,0.0,3,1.0,0
0.087582653,0.2,0.0,3,1.0,0
0.091467263,0.207843137,0.0,3,1.0,0
0.095121523,0.207843137,0.0,3,1.0,0
0.098627698,0.2,0.0,3,1.0,0
0.102182223,0.2,0.0,3,1.0,0
0.105916785,0.2,0.0,3,1.0,0
0.109701775,0.2,0.0,3,1.0,0
0.113894432,0.2,0.0,3,1.0,0
0.117361792,0.2,0.0,3,1.0,0
0.120657659,0.2,0.0,3,1.0,0
0.123691306,0.2,0.0,3,1.0,0
0.127100023,0.2,0.0,3,1.0,0
0.130263345,0.2,0.0,3,1.0,0
0.133159531,0.2,0.0,3,1.0,0
0.136269324,0.2,0.0,3,1.0,0
0.139027934,0.2,0.0,3,1.0,0
0.141870854,0.2,0.0,3,1.0,0
0.14497197,0.2,0.0,3,2.0,0
0.139457753,0.207843137,0.0,4,1.0,0
0.115447134,0.2,0.0,4,1.0,0
0.089883862,0.196078431,0.0,4,1.0,0
0.091611636,0.196078431,0.0,4,1.0,0
0.093223444,0.2,0.0,4,1.0,0
0.095068999,0.2,0.0,4,1.0,0
0.096847235,0.2,0.0,4,1.0,0
0.09874218,0.2,0.0,4,1.0,0
0.100629999,0.2,0.0,4,1.0,0
0.102415608,0.2,0.0,4,1.0,0
0.103918856,0.2,0.0,4,1.0,0
0.105787044,0.2,0.0,4,1.0,0
0.107663662,0.2,0.0,4,1.0,0
0.109216315,0.2,0.0,4,1.0,0
0.111027856,0.2,0.0,4,1.0,0
0.112904226,0.211764706,0.0,4,1.0,0
0.115012811,0.215686275,0.0,4,1.0,0
0.116807081,0.215686275,0.0,4,1.0,0
0.118913455,0.215686275,0.0,4,1.0,0
0.121075816,0.211764706,0.0,4,1.0,0
0.122809117,0.211764706,0.0,4,1.0,0
0.124718611,0.211764706,0.0,4,1.0,0
0.126891679,0.211764706,0.0,4,1.0,0
0.12872869,0.211764706,0.0,4,1.0,0
0.130517796,0.211764706,0.0,4,1.0,0
0.132427373,0.211764706,0.0,4,1.0,0
0.13448223,0.211764706,0.0,4,1.0,0
0.136307463,0.211764706,0.0,4,1.0,0
